Date,Open,High,Low,Close,Volume
2011-08-22,45.9697,45.9946,44.9366,45.072,85854366.407451
2011-08-23,45.3959,46.9321,45.1886,46.9321,84276979.522671
2011-08-24,46.8375,47.9544,46.418,47.2967,88831991.531086
2011-08-25,47.2539,47.4871,46.3632,46.5236,104250738.02407
2011-08-26,46.3912,47.8556,45.9179,47.6913,101995910.21029
2011-08-29,48.1675,49.0741,48.1496,49.0213,51221733.358641
2011-08-30,48.8261,49.642,48.571,49.3471,68602128.267385
2011-08-31,49.637,50.0336,49.0124,49.4298,67818339.533213
2011-09-01,49.5604,49.9469,48.8919,48.9765,63645726.139894
2011-09-02,48.0958,49.0223,47.5717,47.8328,32034813.91542
2011-09-06,46.7149,47.9094,46.5964,47.8358,59001405.582779
2011-09-07,48.5013,49.0582,48.3877,49.0482,54488916.436068
2011-09-08,48.8091,49.5274,48.6627,48.8271,68243785.958828
2011-09-09,48.4853,48.6895,47.4412,47.7352,70904847.87447
2011-09-12,47.2291,48.3877,47.1921,48.3498,73380132.109794
2011-09-13,48.5451,49.0941,48.295,48.9945,65732251.147008
2011-09-14,49.2405,50.2567,48.7633,49.6988,101087654.40507
2011-09-15,50.2447,50.5207,49.7237,50.4311,93031368.280583
2011-09-16,50.5865,50.9492,50.4451,50.8944,102168750.86324
2011-09-19,50.2847,51.1812,49.8512,50.9133,39707175.760937
2011-09-20,51.1734,51.5798,50.5685,50.6871,73991755.698766
2011-09-21,50.9492,51.1992,49.7954,49.8044,88863176.301302
2011-09-22,48.5013,48.9785,47.4412,48.1844,168831948.05061
2011-09-23,47.7909,48.9067,47.7451,48.6995,95539299.715239
2011-09-26,48.9516,49.3571,47.8546,49.2654,106979391.86772
2011-09-27,50.0923,50.5407,49.4438,49.7775,90219754.456636
2011-09-28,49.9768,50.3365,48.9247,49.0383,85303213.308887
2011-09-29,49.7586,49.8512,47.6365,48.4574,129923507.51113
2011-09-30,47.8228,48.2104,47.1821,47.2111,116654770.70553
2011-10-03,46.7986,47.5319,45.9647,45.9896,110212848.74012
2011-10-04,45.5075,47.0247,45.0551,46.9391,152317137.53392
2011-10-05,46.8265,48.2761,46.4579,48.1406,103910987.73646
2011-10-06,48.0888,48.9605,47.8546,48.9516,79966371.839901
2011-10-07,48.9347,49.1568,48.313,48.6079,32076593.015986
2011-10-10,49.4438,50.3105,49.367,50.3105,53601315.309184
2011-10-11,50.1929,50.7768,50.0923,50.6533,73831111.323227
2011-10-12,51.1364,51.4672,50.8674,50.9033,95131146.488829
2011-10-13,50.8037,51.4314,50.7509,51.3696,70499319.39215
2011-10-14,52.0201,52.334,51.7203,52.324,72975629.43568
2011-10-17,52.0759,52.2413,51.236,51.513,72407518.382471
2011-10-18,51.4314,52.4236,50.9591,52.1507,101614085.7266
2011-10-19,51.9016,52.0291,50.978,51.1454,75187486.725863
2011-10-20,51.0916,51.1912,50.1761,50.8944,89367775.573628
2011-10-21,51.4134,51.8557,51.0648,51.532,45490192.609623
2011-10-24,51.7283,52.7494,51.5409,52.601,68306669.40709
2011-10-25,52.4157,52.4506,51.4572,51.5698,72583380.251372
2011-10-26,51.8468,51.9653,50.5497,51.5051,91750077.622252
2011-10-27,52.7414,53.2416,52.1895,52.9268,116121692.7089
2011-10-28,52.62,53.0672,52.611,53.0065,47730878.924562
2011-10-31,52.5282,52.7414,52.0819,52.1128,67293354.581171
2011-11-01,50.8674,52.0829,50.4719,50.7589,111116972.20446
2011-11-02,51.273,51.4034,50.7061,51.1912,72473342.748586
2011-11-03,51.6077,52.3151,51.003,52.2513,87834933.055176
2011-11-04,51.9733,52.2075,51.4553,51.9833,68413664.615676
2011-11-07,51.9365,52.3878,51.4134,52.3509,72840712.570849
2011-11-08,52.7316,53.0404,52.1327,52.9547,69914337.708481
2011-11-09,51.9095,52.0121,50.9312,51.0916,77290575.223213
2011-11-10,51.6077,51.6436,50.5685,51.0648,73355119.252161
2011-11-11,51.513,52.1795,51.4413,52.0291,60517648.476853
2011-11-14,51.8837,52.1696,51.513,51.7033,49554325.279538
2011-11-15,51.5698,52.4854,51.4961,52.2772,58020448.88304
2011-11-16,51.9016,52.3051,51.3168,51.4134,75925230.522993
2011-11-17,51.273,51.2998,49.8961,50.2119,113070825.68232
2011-11-18,50.2209,50.2747,49.7347,49.8234,67063107.813991
2011-11-21,49.1668,49.2216,48.3678,48.8739,58105784.683325
2011-11-22,48.7433,49.1768,48.4485,49.0313,57741951.992293
2011-11-23,48.6627,48.7185,47.8996,47.9284,53864723.183527
2011-11-25,47.7451,48.2672,47.5498,47.5588,28295891.55496
2011-11-28,48.7095,49.2754,48.6895,49.2126,51922532.000725
2011-11-29,49.1299,49.5534,48.7633,48.9067,57869932.105154
2011-11-30,50.2189,50.7589,50.0635,50.716,74376163.773771
2011-12-01,50.6961,51.1912,50.6791,51.0648,50416346.44347
2011-12-02,51.5589,51.5678,50.8724,50.9182,41058376.954861
2011-12-05,51.7113,51.8199,51.1912,51.4772,45031270.910538
2011-12-06,51.521,51.6685,51.1604,51.3318,42984044.796476
2011-12-07,51.1704,51.5678,50.6742,51.3318,49546845.511678
2011-12-08,51.0258,51.3925,50.3753,50.4769,57456900.76927
2011-12-09,50.6005,51.4294,50.5815,51.28,61974264.010551
2011-12-12,50.7419,51.273,50.2747,50.7061,61592884.177579
2011-12-13,51.0448,51.243,49.9429,50.1521,76219265.095768
2011-12-14,49.9339,49.9967,49.0841,49.368,70780487.198393
2011-12-15,49.7855,49.8423,49.1568,49.2316,65232941.51191
2011-12-16,49.5006,50.1611,49.4039,49.4826,67585325.492819
2011-12-19,49.664,49.7885,48.8629,48.9945,51769228.878827
2011-12-20,49.7885,50.5098,49.7606,50.45,90622762.582394
2011-12-21,50.187,50.187,49.1479,49.7277,87067198.922042
2011-12-22,49.8064,50.179,49.7606,50.1521,44701292.901493
2011-12-23,50.2239,50.5815,50.1332,50.5815,29478078.30032
2011-12-27,50.5197,50.8904,50.45,50.729,23747448.934717
2011-12-28,50.6652,50.7469,50.0057,50.1421,42330812.740396
2011-12-29,50.2239,50.5357,50.0605,50.5018,31116451.590789
2011-12-30,50.3863,50.6233,50.3503,50.3593,24204567.941495
2012-01-03,51.3318,51.5878,51.1882,51.3238,43790826.891107
2012-01-04,51.2242,51.6147,51.0169,51.539,32586693.711775
2012-01-05,51.4463,52.0121,51.2341,51.9643,45710836.727967
2012-01-06,52.0023,52.2613,51.7721,52.1417,51350917.942977
2012-01-09,52.2692,52.2961,51.8,51.9733,43433227.339959
2012-01-10,52.5462,52.6768,51.9923,52.3519,39794509.980144
2012-01-11,52.335,52.5751,52.1417,52.4615,41113507.621728
2012-01-12,52.5751,52.7424,52.1895,52.6678,29017211.379801
2012-01-13,52.3888,52.4944,52.0291,52.4774,39890844.612449
2012-01-17,52.9557,53.1828,52.7604,52.9557,46312585.658296
2012-01-18,53.0702,53.6621,52.9298,53.6621,53949153.622753
2012-01-19,53.9121,54.0914,53.8045,53.9928,52945880.074031
2012-01-20,53.7687,53.937,53.7248,53.9121,45502642.829771
2012-01-23,53.93,54.3066,53.6143,53.93,28403925.620193
2012-01-24,53.6969,53.9739,53.5883,53.8314,42569666.459992
2012-01-25,54.3884,54.6424,53.9639,54.5089,68274857.307981
2012-01-26,54.7331,54.8407,54.0566,54.3166,41955147.120848
2012-01-27,54.2,54.5816,54.1722,54.48,50480466.482446
2012-01-30,54.0018,54.6075,53.8125,54.5278,47405935.606283
2012-01-31,54.7888,54.8975,54.2498,54.6026,56992316.046799
2012-02-01,54.8945,55.2401,54.7131,55.0399,51121770.256017
2012-02-02,55.2123,55.3886,54.9941,55.2123,51406308.574938
2012-02-03,55.7154,56.0312,55.6357,55.9674,40392195.826698
2012-02-06,55.7602,55.9416,55.6178,55.9226,31632294.604335
2012-02-07,55.8788,56.1498,55.6267,56.0392,42036805.268229
2012-02-08,56.0582,56.3391,55.842,56.3391,45612917.211947
2012-02-09,56.5373,56.8073,56.2136,56.7445,51936694.57782
2012-02-10,56.349,56.5005,56.1498,56.349,64404029.261377
2012-02-13,56.7545,56.9418,56.5104,56.8731,40776254.604974
2012-02-14,56.7445,57.0235,56.5463,57.0145,57269646.607667
2012-02-15,57.2866,57.5984,56.5283,56.6151,117166234.46154
2012-02-16,56.6439,57.4569,56.4915,57.3932,92714626.409323
2012-02-17,57.4031,57.448,56.9617,57.2138,84380648.382534
2012-02-21,57.2866,57.6262,57.0145,57.3752,42256745.774488
2012-02-22,57.2766,57.439,57.0325,57.1152,47847506.89377
2012-02-23,57.1969,57.5556,56.9049,57.4948,60124696.684184
2012-02-24,57.6552,57.7906,57.5466,57.691,45861272.204029
2012-02-27,57.3652,57.962,57.1231,57.7727,47306105.999248
2012-02-28,57.8166,58.3595,57.7548,58.3595,48472303.385774
2012-02-29,58.3935,58.5907,57.9032,58.0965,66209853.194947
2012-03-01,58.3317,58.6116,58.1443,58.5568,74877040.225513
2012-03-02,58.4731,58.7043,58.3217,58.5099,36955991.274622
2012-03-05,58.4551,58.5489,57.72,57.9062,50756901.719518
2012-03-06,57.3912,57.4738,57.0295,57.3384,60562947.645305
2012-03-07,57.5784,57.9142,57.5186,57.7807,19322436.536337
2012-03-08,58.0995,58.5737,57.9989,58.4043,48393534.966208
2012-03-09,58.501,58.7581,58.4641,58.6475,47797665.864131
2012-03-12,58.6116,58.7321,58.3775,58.6754,36238976.431579
2012-03-13,58.9812,59.7693,58.8716,59.7693,68247242.791962
2012-03-14,59.8311,60.2027,59.6059,59.9755,66438344.444952
2012-03-15,60.1638,60.2724,59.846,60.1449,72651507.165457
2012-03-16,60.2196,60.2385,59.9565,60.1021,58684880.516385
2012-03-19,60.1847,60.672,60.0373,60.5264,67476122.08653
2012-03-20,60.2286,60.6998,60.0463,60.636,52340275.831255
2012-03-21,60.654,60.9798,60.5634,60.645,43881751.439036
2012-03-22,60.2754,60.664,60.2475,60.5185,63042766.715732
2012-03-23,60.5912,60.6072,60.1379,60.4806,50411299.707989
2012-03-26,60.8762,61.5427,60.8314,61.5427,45196617.74346
2012-03-27,61.5685,61.8834,61.5597,61.6273,41195920.571233
2012-03-28,61.6643,61.9023,61.0276,61.3853,49160622.699651
2012-03-29,61.0894,61.3763,60.7178,61.1491,59725006.877339
2012-03-30,61.4301,61.458,60.7914,61.0426,43695960.710275
2012-04-02,60.9519,61.7429,60.8602,61.6643,44298618.012842
2012-04-03,61.7161,61.9372,61.3026,61.6443,50153881.068056
2012-04-04,61.194,61.2199,60.4537,60.8064,59846013.10036
2012-04-05,60.7098,61.2388,60.654,61.185,48985383.141012
2012-04-09,60.4278,60.9718,60.3192,60.7268,32671343.967046
2012-04-10,60.7098,60.933,59.5611,59.7513,76619678.589225
2012-04-11,60.2754,60.4358,59.8839,60.0373,69619119.742481
2012-04-12,60.1569,60.7865,60.0651,60.7268,63527275.403854
2012-04-13,60.4996,60.7178,59.7783,59.8041,61111575.368677
2012-04-16,60.112,60.1379,58.9454,59.1366,63720452.553935
2012-04-17,59.4056,60.5264,59.296,60.3372,52407535.525878
2012-04-18,60.1668,60.5354,60.0005,60.1847,47067826.411055
2012-04-19,59.9755,60.6908,59.2861,59.5053,89766146.484208
2012-04-20,59.8311,60.0931,59.2522,59.3419,66288874.553523
2012-04-23,58.8019,58.8916,58.2659,58.8019,78031967.565187
